state,n_monitors,mean_pm25,median_pm25,sd_pm25,min_pm25,max_pm25
Michigan,762,10.69,10.51,2.22,5.26,15.6
Ohio,1662,10.26,10.06,2.19,6.55,28.66
Iowa,363,10.16,9.88,1.18,7.96,12.65
Indiana,1128,10.07,9.71,1.59,7.6,15.08
Mississippi,168,9.98,9.84,0.92,8.37,11.92
Georgia,897,9.86,9.82,1.21,7.46,15.01
Pennsylvania,1807,9.79,9.69,1.97,4.8,18.65
Arkansas,203,9.49,9.28,0.9,7.59,11.5
Illinois,914,9.35,9.53,1.54,6.51,12.33
West Virginia,165,9.33,8.92,1.17,7.74,11.77
Missouri,494,9.27,9.3,2.43,6.16,21.67
Wisconsin,819,9.27,9.26,1.57,6.36,12.52
Texas,799,9.22,9.12,1.33,5.31,13.13
Oregon,289,9.01,8.42,3.29,5.49,18.38
Tennessee,464,8.94,9.12,0.97,6.9,10.46
Louisiana,440,8.9,8.72,1.34,6.43,12.91
District Of Columbia,116,8.82,8.82,0.71,7.63,10.09
Alabama,301,8.81,9.12,1.24,5.37,10.59
Oklahoma,560,8.77,8.56,1.58,6.4,12.93
Delaware,294,8.76,8.87,1.1,7.09,10.89
North Carolina,448,8.76,8.82,1.13,4.94,10.55
New Jersey,712,8.68,8.59,1.18,6.05,11.7
North Dakota,615,8.59,8.27,2.04,5.15,12.67
South Carolina,415,8.59,8.6,0.98,6.61,10.69
Kentucky,829,8.56,8.86,1.31,5.17,11.19
Kansas,296,8.24,8.81,2.19,3.46,11.88
Virginia,514,8.23,8.13,1.05,4.76,10.68
New York,462,8.12,8.36,1.42,4.7,11.28
Minnesota,821,8.09,8.2,2.45,2.81,13.63
California,1743,7.92,7.6,3.08,3.04,23.65
Idaho,176,7.69,7.64,1.45,5.36,9.89
Alaska,173,7.62,7.53,2.7,3.91,12.35
Nebraska,102,7.61,7.84,1.13,5.35,8.92
Maryland,417,7.57,7.23,1.36,5.45,11.47
Connecticut,372,7.55,7.63,1.17,4.75,9.88
Montana,239,7.46,7.6,2.58,2.92,12.11
South Dakota,97,7.33,7.58,1.46,4.75,9.64
Washington,230,7.26,7.33,1.85,4.2,12.16
Florida,999,7.16,7.1,1.12,4.99,10.27
Massachusetts,705,7.15,7.04,0.82,5.62,9.35
Rhode Island,78,7.14,7.09,0.73,5.89,8.27
Arizona,306,7.11,7.07,1.91,2.34,10.44
Utah,388,7,7.15,1.22,3.58,9.51
Vermont,168,6.23,6.68,1.11,4.4,7.95
Colorado,369,6.15,6.12,1.39,3.56,8.78
New Mexico,346,6.08,6.33,1.55,2.39,9.11
Maine,289,5.87,5.37,1.81,3.61,10.06
New Hampshire,240,5.87,5.91,1.11,3.58,8.18
Nevada,634,5.22,4.75,1.78,3.23,9.61
Wyoming,297,3.95,3.34,1.47,1.72,6.79
Hawaii,216,3.29,3.31,0.96,1.04,5.38
